Date,Bench,Squat,Sumo DL,OHP,Conv DL,Leg Press,Pull-Ups,Bodyweight,,,
10/23/2018,95x8,,,,,,,,,,
10/30/2018,100x7,,,,"155x8
",,,,,,
11/4/2018,100x8,,,,,,,,,,
11/6/2018,105x7,,,,,,,,,,
11/8/2018,,115x8,,,,,,,,,
11/13/2018,100x8,"
",,,,,,,,,
11/18/2018,105x7,,,,,,,,,,
11/27/2018,110x5,,,,,,,,,,
12/3/2018,,115x6,,,,,,,,,
12/4/2018,115x6,,,,,,,,,,
12/10/2018,115x7,110x6,,,,,,,,,
1/9/2019,120x7,,,,,,,,,,
1/10/2019,,,,,175x6,,,,,,
1/13/2019,115x6,115x6,,,,,,,,,
1/15/2019,115x6,,,45x8,,,,,,,
1/16/2019,,,,,183x7,,,,,,
1/18/2019,115x6,,,,,,,,,,
1/20/2019,,,,55x7,177x7,,,,,,
1/23/2019,115x7,,,,,,,,,,
1/31/2019,120x5,,,60x8,,,,,,,
2/3/2019,115x8,,,,,,,,,,
2/4/2019,120x6,,,,,,,,,,
2/5/2019,,120x5,,,,,,,,,
2/6/2019,125x5,,,,,,,,,,
2/8/2019,125x6,,,,,,,,,,
2/10/2019,"125x6
",,,,,,,,,,
2/12/2019,135x4,,,,,,,,,,
2/13/2019,,,185x6,,,,,,,,Switch to sumo
2/14/2019,130x5,,,,,,,,,,
2/15/2019,,145x5,,,,,,,,,
2/19/2019,135x5,,,75x5,,,,,,,
2/24/2019,135x5,155x5,,,,,,,,,
2/25/2019,,,195x5,,,,,,,,
2/26/2019,135x5,,,,,,,,,,
3/3/2019,135x5,,,,,,,,,,
3/4/2019,135x5,,,,,,,,,,
3/5/2019,135x5,,,,,,,,,,
3/6/2019,,135x5,,,,,,,,,
3/7/2019,125x6,,,,,,,,,,
3/8/2019,,,201x5,,,,,,,,
3/11/2019,135x5,,,,,,,,,,
3/12/2019,,,205x5,,,,,,,,
3/13/2019,,155x5,,,,,,,,,
3/14/2019,135x5,,,,,,,,,,
3/18/2019,130x5,,,,,,,,,,
3/19/2019,,,210x5,,,,,,,,
3/21/2019,125x6,,,,,,,,,,
3/23/2019,,,205x5,,,,,,,,"Cut starts
"
4/2/2019,130x6,,,,,,,,,,
4/3/2019,,,205x5,,,,,,,,
4/5/2019,135x5,,,,,,,,,,
4/6/2019,,,205x5,,,,,,,,
4/7/2019,140x5,,,,,,,,,,
4/10/2019,140x5,,,75x5,,,,,,,
4/14/2019,140x5,,,75x5,,,,,,,
4/16/2019,,,205x5,,,,,,,,
4/17/2019,,155x5,,80x5,,,,,,,
4/18/2019,135x5,,,,,,,,,,
4/21/2019,,,215x5,,,,,,,,
4/22/2019,,155x5,,,,,,,,,
4/23/2019,140x4,,,,,,,,,,
4/24/2019,,,234x5,,,,,,,,
4/25/2019,,145x5,,75x5,,,,,,,
4/28/2019,,,260x1,,,,,,,,
4/29/2019,,145x5,,,,,,,,,
