Time of Measurement,Weight(lb),BMI,Body Fat(%),Fat-free Body Weight(lb),Subcutaneous Fat(%),Visceral Fat,Body Water(%),Skeletal Muscle(%),Muscle Mass(lb),Bone Mass(lb),Protein(%),BMR(kcal),Metabolic Age,Remarks
"06/17/2021, 10:55:12",141.4,22.2,13.0,123.0,11.4,5,62.8,56.2,116.8,6.2,19.8,1575,18,--
"06/17/2021, 10:41:30",142.0,22.3,13.1,123.2,11.5,5,62.7,56.1,117.2,6.2,19.9,1578,18,--
"06/16/2021, 11:22:02",141.2,22.2,13.0,122.8,11.4,5,62.8,56.2,116.6,6.2,19.9,1573,18,--
"06/10/2021, 15:00:55",143.2,22.5,13.4,123.8,11.7,6,62.5,55.9,117.8,6.2,19.8,1584,18,--
"06/08/2021, 13:25:17",144.6,22.7,13.7,124.8,12.0,6,62.3,55.7,118.6,6.2,19.7,1592,18,--
"06/07/2021, 12:50:18",144.0,22.6,13.6,124.4,11.9,6,62.4,55.8,118.2,6.2,19.7,1588,18,--
"05/29/2021, 12:11:31",141.6,22.2,13.1,123.0,11.5,5,62.8,56.1,116.8,6.2,19.8,1575,18,--
"05/25/2021, 14:00:46",142.2,22.3,13.2,123.4,11.5,5,62.7,56.1,117.2,6.2,19.8,1579,18,--
"05/22/2021, 13:17:32",145.8,22.9,14.0,125.4,12.2,6,62.1,55.6,119.0,6.2,19.6,1598,18,--
"05/21/2021, 13:19:28",143.8,22.6,13.6,124.4,11.9,6,62.4,55.8,118.2,6.2,19.7,1587,18,--
"05/14/2021, 12:16:46",144.4,22.7,13.7,124.6,12.0,6,62.3,55.7,118.4,6.2,19.7,1590,18,--
"05/13/2021, 12:03:04",142.0,22.3,13.2,123.2,11.6,5,62.6,56.0,117.0,6.2,19.8,1578,18,--
"05/12/2021, 15:38:10",142.6,22.4,13.3,123.6,11.6,5,62.7,56.1,117.2,6.2,19.7,1580,18,--
"05/11/2021, 13:02:04",140.8,22.1,12.9,122.6,11.3,5,62.9,56.3,116.4,6.2,19.9,1571,18,--
"05/11/2021, 13:01:51",140.8,22.1,--,--,--,--,--,--,--,--,--,--,--,--
"04/29/2021, 11:07:02",140.2,22.0,12.7,122.4,11.1,5,63.1,56.4,116.2,6.2,19.9,1568,18,--
"04/27/2021, 11:34:45",140.2,22.0,12.7,122.4,11.1,5,63.0,56.4,116.2,6.2,19.9,1569,18,--
"04/22/2021, 18:09:14",141.0,22.1,12.9,122.8,11.3,5,62.9,56.3,116.6,6.2,19.9,1573,18,--
"04/21/2021, 08:45:38",138.4,21.7,--,--,--,--,--,--,--,--,--,--,--,--
"04/10/2021, 11:24:58",137.4,21.6,12.1,120.8,10.6,5,63.5,56.8,114.8,6.0,20.0,1553,18,--
"04/09/2021, 15:13:32",139.2,21.9,12.5,122.0,11.0,5,63.2,56.6,115.8,6.2,19.9,1563,18,--
"04/08/2021, 11:28:00",137.4,21.6,12.0,120.8,10.5,5,63.5,56.8,114.8,6.0,20.1,1554,18,--
